sid,start_time,end_time,observation_count,lat_first,lat_min,lat_max,lon_first,lon_min,lon_max,basin,nature,storm_speed_mean,storm_dir_mean,season,duration_days,basin_name,storm_type
1855021S15057,1855-01-21 06:00:00,1855-01-28 06:00:00,57,-14.7,-26.0,-14.7,57.4,57.4,64.1,SI,NR,4.7368421052631575,153.1578947368421,1855,7.0,South Indian,NR
1855121S08073,1855-04-30 18:00:00,1855-05-05 06:00:00,37,-7.8,-20.5,-7.8,73.2,68.7,73.2,SI,NR,8.324324324324325,191.48648648648648,1855,4.5,South Indian,NR
1855131S08073,1855-05-11 06:00:00,1855-05-17 06:00:00,49,-7.6,-23.0,-7.6,73.4,68.7,73.4,SI,NR,7.204081632653061,191.3265306122449,1855,6.0,South Indian,NR
1855206N22263,1855-07-24 12:00:00,1855-07-25 12:00:00,9,21.8,21.8,23.0,-97.0,-98.5,-97.0,,TS,4.666666666666667,312.22222222222223,1855,1.0,,Tropical Storm
1855215N30272,1855-08-03 06:00:00,1855-08-07 06:00:00,33,30.1,30.1,30.5,-88.2,-90.7,-88.2,,TS,1.7878787878787878,260.0,1855,4.0,,Tropical Storm
1855222N44318,1855-08-10 00:00:00,1855-08-11 06:00:00,11,44.0,44.0,54.0,-42.0,-42.0,-24.0,,TS,31.0,49.09090909090909,1855,1.25,,Tropical Storm
1855236N12304,1855-08-24 00:00:00,1855-09-01 12:00:00,69,11.6,11.6,32.0,-55.8,-92.5,-55.8,,TS,11.884057971014492,301.6666666666667,1855,8.5,,Tropical Storm
1855244N12319,1855-08-31 12:00:00,1855-09-02 12:00:00,17,12.3,12.3,13.8,-41.1,-42.8,-41.1,,TS,2.8823529411764706,310.88235294117646,1855,2.0,,Tropical Storm
1855252N20274,1855-09-08 18:00:00,1855-09-17 12:00:00,71,19.9,19.9,32.2,-85.9,-91.6,-85.9,,TS,5.084507042253521,185.28169014084506,1855,8.75,,Tropical Storm
1855263N24306,1855-09-19 12:00:00,1855-09-28 12:00:00,73,24.0,24.0,43.0,-54.0,-60.0,-46.5,,TS,7.438356164383562,211.5068493150685,1855,9.0,,Tropical Storm
1855270N33309,1855-09-26 12:00:00,1855-10-19 00:00:00,181,33.4,29.3,38.6,-51.0,-51.0,-37.7,,TS,2.9005524861878453,78.56353591160222,1855,22.5,,Tropical Storm
1855308N24311,1855-11-03 12:00:00,1855-11-09 12:00:00,49,24.0,24.0,36.5,-48.8,-66.0,-48.8,,TS,9.183673469387756,265.51020408163265,1855,6.0,,Tropical Storm
1856032S17058,1856-02-01 06:00:00,1856-02-08 06:00:00,57,-16.6,-25.8,-16.6,58.4,56.8,63.5,SI,NR,4.578947368421052,150.26315789473685,1856,7.0,South Indian,NR
1856092S16060,1856-04-01 06:00:00,1856-04-04 06:00:00,25,-15.5,-24.2,-15.5,59.8,58.9,60.7,SI,NR,7.96,169.0,1856,3.0,South Indian,NR
1856092S16420,1856-03-31 18:00:00,1856-04-02 06:00:00,13,-15.8,-23.0,-15.8,59.6,59.0,59.7,SI,NR,12.307692307692308,180.3846153846154,1856,1.5,South Indian,NR
