sid,kf_mean_error,kf_std_error,kf_forecast_count,lead_time_hours,null_mean_error,null_std_error,null_forecast_count,basin,nature,start_time,end_time,lat,lon,better_model
1862080S09082,47.83331274375452,68.13832051198871,30,6,56.24381949983586,70.56030131311672,30,SI,NR,1862-03-21 06:00:00,1862-03-27 06:00:00,-9.2,82.1,Kalman Filter
1862147N28285,93.70421903278255,115.09431804696004,30,6,88.03888744944412,120.62778697068737,30,,SS,1862-05-26 12:00:00,1862-05-30 00:00:00,27.5,-75.2,Null Model
1862166N32284,41.94385128286015,38.15613381675328,30,6,46.76333738411683,48.31779095453487,30,,TS,1862-06-15 00:00:00,1862-06-17 18:00:00,32.0,-75.6,Kalman Filter
1862229N24294,265.6663909391257,295.68582985609663,25,6,217.5282109005726,248.19852617372803,25,,TS,1862-08-16 18:00:00,1862-08-21 06:00:00,23.9,-65.6,Null Model
1862287N33290,130.2875853822681,148.36229946857023,25,6,125.12124373362816,145.30040286768647,25,,TS,1862-10-14 00:00:00,1862-10-17 06:00:00,33.0,-69.6,Null Model
1862345S07089,59.73471663874181,53.04070392280046,25,6,58.864037808304644,54.106040593348645,25,SI,NR,1862-12-10 18:00:00,1862-12-15 06:00:00,-7.0,89.4,Null Model
1863032S12059,107.33334187147828,142.4967193862855,30,6,92.92574622731583,124.36722485868665,30,SI,NR,1863-02-01 06:00:00,1863-02-09 06:00:00,-12.1,59.3,Null Model
1863111S13081,47.35510292655046,77.79392403734327,30,6,28.168918960308535,32.45816882727087,30,SI,NR,1863-04-20 18:00:00,1863-04-27 06:00:00,-13.1,80.5,Null Model
1863141S07089,68.34689500958117,89.0077974501584,30,6,79.90118720208542,133.68300075372403,30,SI,NR,1863-05-21 06:00:00,1863-05-30 06:00:00,-7.0,89.1,Kalman Filter
1863145N27272,120.03231120410621,164.60456097884946,30,6,135.6937858923783,174.26872479840108,30,,TS,1863-05-24 18:00:00,1863-05-31 00:00:00,27.0,-88.0,Kalman Filter
1863255N15300,113.30700204008112,156.51337877550745,30,6,118.93500421461597,146.37001713137153,30,,TS,1863-09-11 12:00:00,1863-09-20 00:00:00,14.5,-59.8,Kalman Filter
